Ind,cod. pais,eci,cod. org,ms,sci_rank
11,USA,1.687701277,Quinnipiac University,"An education at Quinnipiac embodies the university's commitment to three core values: highquality academic programs, a studentoriented environment and a strong sense of community. The university prepares undergraduate and graduate students for achievement and leadership in business, communications, education, engineering, health, law, medicine, nursing and the liberal arts and sciences. Quinnipiac University educates students to be valued and contributing members of their communities through a vital, challenging and purposeful educational program. Students engage in realworld issues through practice and the consideration of different perspectives. The university's innovative core curriculum further prepares undergraduates to understand their role and responsibilities as members of the Quinnipiac community, as well as the larger national and global communities. To fulfill its educational mission, Quinnipiac: Offers degree programs centered on effective practice that are strengthened by the integration of a liberal arts education. Cultivates critical thinking, intellectual integrity, curiosity and creativity in the pursuit of knowledge. Provides a variety of learning and service experiences to facilitate student achievement. Maintains a strong commitment to a diverse and inclusive student body, faculty and staff. Fosters an understanding of and respect for the multiplicity of human perspectives and belief systems. Supports faculty teacherscholars who are effective teachers and who engage in scholarship.",715
12,CHN,0.733615715,"Institute of Modern Physics, Chinese Academy of Sciences","The Institute of Modern Physics (IMP) of the Chinese Academy of Sciences was founded in l957. As of 2013, the institute had 892 staff members including 403 researchers, as well as 284 master's and doctoral students. IMP operates the Heavy Ion Research Facility in Lanzhou (HIRFL), which consists of the Sector Focusing Cyclotron, the Separated Sector Cyclotron, the Cooler Storage Ring (CSR), and a number of experimental terminals. After a half century of development, IMP has become the most important research center for heavy ion sciences in China. We have established active and fruitful collaboration with more than 40 institutions worldwide. As a national laboratory, HIRFL is open to domestic and international users. HIRFL produces medium and high energy ion beams from proton to uranium. In recent years, HIRFL has operated 7,000 hours each year and delivered 5,000 hours of beam time for experiments. To improve HIRFL?s beam intensity and operating efficiency, IMP has devoted much effort to accelerator physics and technology R&D. Using HIRFL, we conduct fundamental research in nuclear and atomic physics. IMP?s main research focuses on nuclear reactions, nuclear spectroscopy, the properties of nuclear matter, the chemistry of super heavy elements and synthesis of new super heavy isotopes, key reactions in stellar evolution, high energy density physics, and highly charged heavy ion interactions. After the CSR was put into operation in 2008, IMP set making precision mass measurements of short lived nuclides as its highest priority research program at HIRFL. A batch of nuclear masses were measured with a precision of up to 10.7 using isochronous mass spectrometry, and the implications for nuclear structures and nucleosynthesis in the rapid proton capture process of X ray bursts have been investigated. So far, this research has led to three main conclusions. 64 Ge is certainly not a major waiting point in the rapid proton capture process in X ray bursts. Aided by model calculations, no strong Ca Sc cycle can be formed in X ray bursts. Last but not least, a breakdown of the quadratic form of the mass equation for analogous states was found. We have paid much attention to heavy ion applications. Cancer therapy has been developed at IMP since 2006, and so far 103 shallow seated and 110 deep seated tumor patients have been treated. In collaboration with local government agencies and hospitals, two dedicated heavy ion treatment facilities are under construction in Lanzhou and Wuwei in Gansu Province. Mutation of sweet sorghum using heavy ion beam irradiation technology has also proved to be very successful. An early maturity variety was isolated, and we expect large scale planting in western China to benefit many people. It is also worth noting that HIRFL provides an important platform for evaluating single particle effects for devices used in space, and contributes to space sciences in China. Another important application field is material irradiation, which may play a significant role in future nuclear energy development. In 2010, IMP took charge of the Advanced Nuclear Fission Energy Program ADS Transmutation System, a strategic priority research program of CAS. In collaboration with other institutes in China, the project was approved by the central government at the end of 2010. This long term project aims to build a demonstration facility for the transmutation of nuclear waste produced in nuclear power plants. IMP established a department dedicated exclusively to the R&D of a high intensity superconducting proton accelerator and spallation target system. Now the roadmap for the ADS project is fixed and the research program is on track.",713
13,ITA,1.359581953,Istituto Nazionale di Ricerca Metrologica,"NRIM is a public research centre acting as Italy's national metrology institute (NMI). INRIM realises, maintains and develops the national reference standards of the measurement units of the International System (SI), consisting of seven base units metre, kilogram, second, ampere, kelvin, mole and candela and of derived units. Thanks to these standards, the Institute is able to ensure measurements that are reliable and comparable on both a national and international scale.Basic and applied research in many fields such as materials science, nanoscience, quantum optics, studies on the fundamental constants of physics as well as the development of new measurement technologies and instruments enhance the metrology activity. Through seminars, exhibitions, events and conferences INRIM presents and disseminates its scientific findings and advancements. The Institute promotes education and training for young scientists organising PhD courses and financing scholarships and research grants. In order to meet the needs of industry, INRIM has a dedicated department operating at direct contact with the world of production and providing consultancy, calibration, and testing services. The Institute supports the National Laboratory Accreditation System by ensuring the quality of measurement standards and procedures and promoting the dissemination of the national standards of the SI measurement units.",662
14,LVA,0.552398942,Latvia University of Agriculture,"To develop competitive intellectual capital on the basis of excellence in research, application of research findings, high quality of education and effective management of the university.",760
15,AUS,0.00759991,James Cook University,"We aim to promote health and strengthen healthcare for communities of tropical Australia and beyond through socially accountable health professional education, discoveries, partnerships, advocacy and leadership.We see a future where people of the tropics, our wider region, rural & remote communities and Aboriginal and Torres Strait Islanders can be confident of good health and access to quality healthcare for themselves, their families and future generations.",542
16,USA,1.687701277,Georgia Institute of Technology,"Technological change is fundamental to the advancement of the human condition. The Georgia Tech community students, staff, faculty, and alumni will realize our motto of Progress and Service through effectiveness and innovation in teaching and learning, our research advances, and entrepreneurship in all sectors of society. We will be leaders in improving the human condition in Georgia, the United States, and around the globe.",89
17,GBR,1.785703561,Liverpool School of Tropical Medicine,To reduce the burden of sickness and mortality in disease endemic countries through the delivery of effective interventions which improve human health and are relevant to the poorest communities.,597
18,GBR,1.785703561,"GlaxoSmithKline, United Kingdom","Our mission is to help people do more, feel better, live longer.",232
19,USA,1.687701277,"University of Alabama, Huntsville","The University of Alabama in Huntsville is a researchintensive, internationally recognized technological university serving Alabama and beyond. Our mission is to explore, discover, create, and communicate knowledge, while educating individuals in leadership, innovation, critical thinking, and civic responsibility and inspiring a passion for learning.",643
20,IND,0.271448334,Dr. Babasaheb Ambedkar Marathwada University,"To provide a platform for rural, women, socially disadvantaged and differently abled groups to achieve Academic Excellence with inbuilt Employability.To carve out a fusion between Academics and Industry with an ultimate aim to identify the gaps and accordingly, design the courses to impart skill based education as per the requirements of the region so as to improve employability and develop entrepreneurial capabilities.To provide student centric learning environment and to establish platform for inclusive research leading to the development of creative thought process amongst research scholars keeping in mind societal needs. Nurturing innovative ideas shaping into products facilitating the spinoff and creating awareness to protect Intellectual Property (IP). To adopt a perennial process for bringing in excellence in teaching pedagogy by providing ICT based state of the art infrastructural facilitation. To impart value added, culturally rich education by adopting the local to global approach. To provide an academic corridor for cordial connectivity between the University and its affiliates. To ensure good Governance inculcating ?Accountability? based on ?Selfevaluation? amongst all the stakeholders of the University.",723
21,USA,1.687701277,"Louisiana State University, Health Sciences Center","The mission of the Louisiana State University Health Sciences Center in New Orleans LSUHSCNO is to provide education, research, and public service through direct patient care and community outreach. LSUHSC NO comprises the Schools of Allied Health Professions, Dentistry, Graduate Studies, Medicine, Nursing, and Public Health.",544
22,GBR,1.785703561,"AstraZeneca, United Kingdom","Our purpose and values help explain why we exist, what we hope to accomplish, the behaviours we value, how we will achieve our goals, and the promise of our brand to our stakeholders.",254
23,USA,1.687701277,VA Maryland Health Care System,Honor America's veterans as heroes by providing the highest quality health care.,526
24,CHN,0.733615715,Guangdong University of Technology,"GDUT is one of the most important universities of Guangdong province. The school of art and design is aiming to be one of the best design schools in China and be remarkable internationally. It focuses on humanities and functionalism. It emphasises the combination of technology, culture and innovation, integration of multidiscipline and resources from various fields, and sustainable development and environmental protection. The mission of the school is to educate advance design professionals and researchers who can contribute to the development of China  to seek for a better way of education in China  to lead the application and cooperation of local technology achievements  to integrate different resources to create for better living  and to promote the change of Guangdong area from the biggest manufacturing base to the great innovative industrial region internationally.",552
25,USA,1.687701277,NASA Goddard Institute for Space Studies,"NASA?s Goddard Space Flight Center in Greenbelt, Maryland, plays a pivotal role across all aspects of the agency?s missions, from development to de orbit. Goddard?s missions support multiple scientific disciplines, including Earth science, solar science and the sunEarth environment, planetary studies and astrophysics.",587
26,USA,1.687701277,Case Western Reserve University,"Case Western Reserve University improves and enriches people's lives through research that capitalizes on the power of collaboration, and education that dramatically engages our students.",212
27,JOR,0.246487665,Hashemite University,The Hashemite University as a youthful and prominent higher education institution is committed to actively participate in achieving the goals of the comprehensive national development through preparing loyal men and women who are not only technically competent in their professional fields but also life long learners who have a breadth vision loyalty to their nation and a sense of civic and moral responsibility and a devotion to the fundamental values of human life.,743
28,AUS,0.00759991,Neuroscience Research Australia,improving life through brain research.,626
29,GBR,1.785703561,University Hospitals Leicester NHS Trust,"Our purpose is to deliver Caring at its best  for everyone who visits Leicester?s Hospitals, whether you are a patient, a member of the public or a member of staff.",604
30,LTU,0.57500341,Nature Research Centre,"The Nature Research Centre (hereinafter the Centre) is a state scientific research institute. The Centre is a public legal entity operating as a state budget institution and performing longterm research and experimental (social and cultural) development activities according to research trends established in the Articles of Association of the Centre and significant for the state, society, international communications and business.",748
31,CMR,-1.204059,Universite de Buea,"The University of Buea was born in 1993 following wideranging university reforms in Cameroon. Conceived in the Englishspeaking tradition, the University of Buea seeks to foster the essence of that system, while situating itself within the larger bilingual and multicultural context of Cameroon. It is located in the historic town of Buea, former capital of German Kamerun, former capital of the federated State of West Cameroon and now the provincial capital of the South West Region of Cameroon. Although the University draws its students mainly from the Englishspeaking part of Cameroon, it also serves the other provinces of the country. The mission of the University of Buea is to provide opportunities for quality education through teaching and research in an environment that is conducive to such pursuits and in ways that respond to market forces. The University is dedicated to the continuous quest for excellence, the promotion of moral and human values, and service to the community. Its teaching and research programmes emphasize relevance, encourage tolerance and promote creative, critical and independent thinking. The University of Buea is dedicated to the provision of programmes of study and research of the highest standards. It also produces high quality graduates with skills to satisfy the ever increasing demand of the Cameroonian, African and international job markets. The academic staff hold advanced qualifications and several possess international reputations. The student population is over 12,000, including over fifty who are physically and visually disabled. Adequate welfare provision for this later category of students remains both a challenge and a priority for the university administration. The University of Buea is made up of five faculties (Arts Education  Health Sciences  Science  and Social and Management Sciences) and one professional school, the Advanced School of Translators and Interpreters, (ASTI). As in most English specking institutions, the governance system of the university is based on concentration and devolution of management, with structures such as Council, Senate, Congregation and Committees on which staff and students are represented. This has enabled the University to make considerable strides and to be recognized as a progressive African University of choice. A highly qualified and diversified staff (about 300 permanent and 200 parttime) cater for the over 12,000 students, together with our partners in more than 40 universities in Africa, Europe and North America. In addition to teaching, the staff undertake research in diverse fields that are relevant to national development. In addition to the academic staff, UB also has about 473 support staff. Training at the University of Buea is supported by modest infrastructure including lecture halls, teaching and research laboratories, amongst others. For effective implementation of the New Policy on University Governance which lays emphasis on effectiveness, efficiency and management principles based on rigor, transparency and results, the University is connected to the outside world via a fibre optic link to Camtel, a major local telecommunications company. The main campus also has a fibre optic network that interconnects most of the buildings on campus. In keeping with the New University Governance Policy of Cameroon, the outreach activities of the University are increasingly involving the private sector in funding and training so as to ensure that the graduates are relevant to the labour market. The University of Buea provides mentorship and plays a supervisory role to several tertiary educational institutions all over Cameroon. In view of its vision and aspiration of becoming a leading university in the quality and relevance of its teaching, research and services by 2015, the University of Buea is emphasizing sports, entrepreneurship and civics and ethics in its training programmes  and providing a healthy competitive atmosphere devoid of sex, racial and religious discrimination.",757
32,IND,0.271448334,Indian Statistical Institute,"To promote the study and dissemination of knowledge of Statistics, to develop statistical theory and methods, and their use in research and practical applications generally, with special reference to problems of planning of national development and social welfare. To undertake research in various fields of natural and social sciences, with a view to the mutual development of Statistics and these sciences. To provide for, and undertake, the collection of information, investigation, projects and operational research for purposes of planning and the improvement of efficiency of management and production.",656
33,IDN,-0.238449468,Bogor Agricultural University,"To implement an excellent high education and comprehensive student development to produce competitive graduates with Indonesian characteristics. To conduct research for the development of science and technology which bring benefit to agrarian and maritime communities. To provide public services that promotes innovations in science and technology with entrepreneurial characteristics while maintaining the great values of the nation and preserving natural resources. To strengthen an effective, efficient, transparent, and accountable management system of higher education.",696
34,IND,0.271448334,University of Rajasthan,Promotion of excellence in education and research by inculcating independent critical thought and scientific temper. Promotion of interdisciplinary research on convergence of science and technologies. Pursuit of high quality research pertaining to economy social development languages arts culture energy and environment. Establishment and expansion of academic links and research collaborations with national and international institutions. Creation and strengthening of infrastructure for global competence. Critical analysis of existing social hierarchies and construction of new models of sustainable development equity and gender justice. Preparing Students for Careers in Science Social Science Humanities Commerce Management Fine Arts and Sports Engineering Technology.,719
35,USA,1.687701277,Fairfield University,"Fairfield University, founded by the Society of Jesus, is a coeducational institution of higher learning whose primary objectives are to develop the creative intellectual potential of its students and to foster in them ethical and religious values and a sense of social responsibility. Jesuit Education, which began in 1547, is committed today to the service of faith, of which the promotion of justice is an absolute requirement. Fairfield is Catholic in both tradition and spirit. It celebrates the Godgiven dignity of every human person. As a Catholic university it welcomes those of all beliefs and traditions who share its concerns for scholarship, justice, truth and freedom, and it values the diversity which their membership brings to the university community. Fairfield educates its students through a variety of scholarly and professional disciplines. All of its schools share a liberal and humanistic perspective and a commitment to excellence. Fairfield encourages a respect for all the disciplinestheir similarities, their differences, and their interrelationships. In particular, in its undergraduate schools it provides all students with a broadly based general education curriculum with a special emphasis on the traditional humanities as a complement to the more specialized preparation in disciplines and professions provided by the major programs. Fairfield is also committed to the needs of society for liberally educated professionals. It meets the needs of its students to assume positions in this society through its undergraduate and graduate professional schools and programs. A Fairfield education is a liberal education, characterized by its breadth and depth. It offers opportunities for individual and common reflection, and it provides training in such essential human skills as analysis, synthesis, and communication. The liberally educated person is able to assimilate and organize facts, to evaluate knowledge, to identify issues, to use appropriate methods of reasoning and to convey conclusions persuasively in written and spoken word. Equally essential to liberal education is the development of the esthetic dimension of human nature, the power to imagine, to intuit, to create, and to appreciate. In its fullest sense liberal education initiates students at a mature level into their culture, its past, its present and its future. Fairfield recognizes that learning is a life long process and sees the education which it provides as the foundation upon which its students may continue to build within their chosen areas of scholarly study or professional development. It also seeks to foster in its students a continuing intellectual curiosity and a desire for selfeducation which will extend to the broad range of areas to which they have been introduced in their studies. As a community of scholars, Fairfield gladly joins in the broader task of expanding human knowledge and deepening human understanding, and to this end it encourages and supports the scholarly research and artistic production of its faculty and students. Fairfield has a further obligation to the wider community of which it is a part, to share with its neighbors its resources and its special expertise for the betterment of the community as a whole. Faculty and students are encouraged to participate in the larger community through service and academic activities. But most of all, Fairfield serves the wider community by educating its students to be socially aware and morally responsible persons. Fairfield University values each of its students as an individual with unique abilities and potentials, and it respects the personal and academic freedom of all its members. At the same time it seeks to develop a greater sense of community within itself, a sense that all of its members belong to and are involved in the University, sharing common goals and a common commitment to truth and justice, and manifesting in their lives the common concern for others which is the obligation of all educated, mature human beings.",722
36,JPN,2.401286218,Tokyo Medical and Dental University,"Cultivating Professionals with Knowledge and Humanity Our daily work is dedicated to a word of gratitude and a smile of contentment from our patients and their family members.In order to win the trust of people we serve we affirm that:We will do our utmost to gain advanced knowledge and skills in medicine.We will cultivate empathy for the suffering and sorrow that accompany disease, and will always maintain a strong sense of ethics.We will support all those who are engaged in education, research and medical service as they continue their journey to become true professionals with knowledge and humanity.The above is the mission of TMDU, which we declare with humility and strive to achieve.",480
37,USA,1.687701277,Marshall University,"The Information Technology Organization at Marshall University provides and creates an evolving, reliable, innovative, integrated and serviceoriented information technology environment that empowers, enhances and engages the academic, support and research activities of the University by delivering effective IT products and services that help students, faculty, and staff to achieve Marshall University goals.",682
38,POL,1.015288659,Center of Polymer and Carbon Materials Polish Academy of Sciences,"The Centre of Polymer and Carbon Materials (CMPW) is an institute of the Polish Academy of Sciences, conducting activities pursuant to the Act on the Polish Academy of Sciences (Journal of Laws No. 96, item 619 from April 30, 2010). Our primary goal is to conduct interdisciplinary scientific research regarding polymers, various carbon forms, obtaining and testing the properties of new polymer and carbon materials, as well as to conduct development works and to implement their results in the economy. The beginnings of the current Centre of Polymer and Carbon Materials of the Polish Academy of Sciences (CMPW PAN) date back to 1954 when the Institute of Organic Chemistry of the Polish Academy of Sciences in Warsaw opened a Petrochemical Laboratory in Gliwice the precursor of the current Center, thus initiating the research activity of the Polish Academy of Sciences in Silesia.",NA
39,CAN,0.892145473,Health Canada,"The Parole Board of Canada, as part of the criminal justice system, makes independent, quality conditional release and record suspension decisions and clemency recommendations, in an open and accountable manner, while respecting the rights and dignity of both offenders and victims, in accordance with its statutory responsibilities and authorities.",546
40,GHA,-1.066741516,Kwame Nkrumah University of Science and Technology,"The Office of the KNUST Student Financial Services is committed to provide financial support to underprivileged students to achieve their aims in a sound academic environment for teaching, research and entrepreneurship training in science and technology for the industrial and socio economic development of Ghana, Africa and the world at large.",681
41,GBR,1.785703561,NHS Lothian,"Care and Compassion, Dignity and Respect, Quality, Teamwork, Openness, Honesty and Responsibility",519
42,PRT,0.5350344,Universidade Catolica Portuguesa,"To serve Portugal through innovative research and excellent, internationally bent education, aimed at promoting sustainable development in the spirit of christian humanism.",649
43,LTU,0.57500341,Vilnius University,"The mission of Vilnius University is to create, accumulate and disseminate knowledge by ensuring continuity of authentic university culture distinguished by the atmosphere where old traditions and new ideas enrich each other. Freedom of thought and diversity of opinions are the main values of the University community. A unity of research and studies is the core principle of the overall activity of the University. The University should distinguish itself by a broad spectrum of fundamental and applied research. It should seek to assume the leading position among other Lithuanian institutions in all research areas that are essential to the very nature of a comprehensive University and set itself the goal of international excellence in the interdisciplinary research. The University should be committed to the mission of opening the doors and providing universal education for the most talented young people from all districts of Lithuania and educating active and responsible specialists, who demonstrate the need to expand their knowledge and improve professionally and who are able to learn throughout their lifetime. The University should seek that the quality of all forms of studies conforms to the modern culture and technologies and pertains to the needs of the state and society.",553
44,CAN,0.892145473,University of Calgary,"UCalgary offers students a high quality educational experience that prepares them for success in life, as well as research that addresses society?s most persistent challenges. Our creation and transfer of knowledge contributes every day to our country?s global competitive advantage and makes the world a better place.",225
45,GBR,1.785703561,University of Southampton,Our mission is to change the world for the better.,253
46,AUS,0.00759991,Murdoch University,To help students achieve their educational goals and be work ready.,598
47,AUS,0.00759991,Baker IDI Heart and Diabetes Institute,"To reduce death and disability from cardiovascular disease, diabetes and other related health disordersThe Baker Heart and Diabetes Institute measures its performance, and seeks to be judged by its stakeholders and peers, on the contribution it is able to make in three areas, Scholarly achievement measured by publication number and impact, citation rates, and contribution to academic discourse which effect paradigm shifts in the discipline. Translation of research output in clinical, commercial and policy environments where new knowledge generated through the Institute's research activity have an impact on the lives of people with, or at risk, of cardiovascular disease and diabetes. Contributions to clinical service delivery and preventive health initiatives, through the successful operation of its clinics and clinical service partnerships, and the development and management of preventive health programs which contribute to the public understanding of how to prevent and manage disease.",410
48,THA,0.534533433,Prince of Songkla University,"To develop the university into a society of learning based on multiculture background and sufficiency economy principles, and allow general public an easy and convenient access to learn and gain from whatever forms an sources of knowledge available in the university. To build up expertise and take a leading role in areas of study consistent with the inherent potential of our locality and create a linkage to the global network.ÿ To integrate and applied knowledge based on practical experiences to teaching in order to instill intellectual wisdom, virtue, competency and international worldview vision in our graduates.",619
49,USA,1.687701277,Wildlife Conservation Society USA,"WCS saves wildlife and wild places worldwide through science, conservation action, education, and inspiring people to value nature.",671
50,JPN,2.401286218,Gifu Pharmaceutical University,We collaborate with medical education divisions that have been established in medical schools in Japan in the last decade. We launched the Medical Education Unit in Japan and working together for further development of medical education in Japan.,482
51,GRC,0.280133993,Academy of Athens,"ACS Athens is a studentcentered international school, embracing American educational philosophy, principles and values Through excellence in teaching and diverse educational experiences, ACS Athens challenges all students to realize their unique potential: academically, intellectually, socially and ethically ? to thrive as responsible global citizens.",575
52,CHN,0.733615715,Fuzhou University,"Fujian Medical University was founded in 1937. With the mission of creating and nurturing a diverse community of elites who are diligent, prudent, truth seeking and innovative, for over 70 years, it has developed an integral education system offering bachelor's, master's and doctor's degree programs. In 2003, FJMU was approved by Fujian Provincial People's Government as one of the key universities for priority development. Now, it consists of Shangjie campus and Taijiang campus, covering an area of approximately 87 hectares with a floor space of 400,000 square meters.FJMU currently provides 25 bachelor programs, including Clinical Medicine, Stomatology, Preventive Medicine, Medical Laboratory Tests and Analysis, Anesthesiology, Medical Imaging, Nursing, Pharmacy, Public Utilities Management, Social Work. At present, in Basic Medical Sciences, Clinical Medicine, Clinical Stomatology and Pharmacology, FJMU confers doctoral degrees, as well as master's degrees which also cover Biology, Stomatology, Public Health and Preventive Medicine, Integrative Medicine, Pharmacy, and Social Medicine and Health Care Management.The University has a full time enrollment of 12000 undergraduates, and over 2200 postgraduate and doctoral students. It has been approved to offer undergraduate programs to students from mainland China, Hong Kong, Macao, Taiwan, and foreign countries. In addition, it has established a multidisciplinary and multi level continuing medical education system.Now, FJMU's 477 professors and chief physicians, along with 682 associate professors and associate chief physicians, make part of its faculty members and medical personnel totalling up to 5,638, in which there are 528 master's and doctor's supervisors.Our network of 13 affiliated hospitals and 29 teaching hospitals, affords desirable clinical teaching programs and training opportunities for medical students.In FJMU, there are 2 research stations that offer postdoctoral fellowships 1 key laboratory of the Ministry of Education, 7 key laboratories & research centers jointly supported by the Ministry of Education and Fujian Province, 12 provincial key disciplines, 5 key laboratories of Fujian, and 19 provincial scientific research institutes. The University publishes several academic periodicals, entitled Journal of Fujian Medical University, Journal of Fujian Medical University, Chinese Journal of Hypertension, and Chinese Journal of Cardiovascular Rehabilitation.Today, as a medical center in the Western Taiwan Straits Economic Zone, the University is fully committed to her mission to cultivate medical minds, conduct scientific research and development, explore disease diagnosis, treatment, and prevention, and to provide health care and social service.",404
53,IND,0.271448334,Bannari Amman Institute of Technology,"To equip the students with sound technical knowledge and skills. To offer educational programme with a plethora of innovative concepts for creating a host of talented professionals. To foster an open, student oriented culture and perhaps even more important, an understanding of students, their needs, goals and aspirations. To develop exceptional opportunities for study, research and collaboration of Industry and Institution through industry liaison cells, for students to contribute to our nation's economic growth. To evolve a friendly face of education with emphasis on engineering, technology and research.",737
54,CHN,0.733615715,Harbin Engineering University,"As a university we are committed to the advancement of learning through higher education and scientific research, to the communication of knowledge in an active environment involving staff at the forefront of their disciplines, to the application of knowledge for the benefit of society, both directly and through collaboration with other organizations. Our goal is for world class research and graduate education, and an undergraduate experience at a research university with international renown.",478
55,PHL,0.074916602,University of the Philippines Diliman,"The Vice President for Academic Affairs as head of the OVPAA, is directly responsible to the University President for providing substantive inputs to System wide planning formulation of policies and standards monitoring and review and coordination of curricular instructional research library and extension program of the University of the Philippines.",697
56,GBR,1.785703561,European Centre for Medium-Range Weather Forecasts,Produce numerical weather forecasts and monitor the Earth system carry out scientific and technical research to improve forecast skill maintain an archive of meteorological data.,606
57,USA,1.687701277,Tufts University,"Tufts is a student centered research university dedicated to the creation and application of knowledge. We are committed to providing transformative experiences for students and faculty in an inclusive and collaborative environment where creative scholars generate bold ideas, innovate in the face of complex challenges and distinguish themselves as active citizens of the world.",240
